market_key,market,scenario_id,scenario,is_baseline,sensitivity_value,n,strategy,efficiency_credit,eligible_replications,efficient_share
care,Care.com / childcare,care_d_0.20,d_I=d_J=0.20,False,0.2,100,Providers search,47.5,100,0.475
care,Care.com / childcare,care_d_0.20,d_I=d_J=0.20,False,0.2,150,Customers search,49.0,100,0.49
care,Care.com / childcare,care_d_0.20,d_I=d_J=0.20,False,0.2,150,Providers search,51.0,100,0.51
care,Care.com / childcare,care_d_0.20,d_I=d_J=0.20,False,0.2,200,Both sides search,24.333333333333332,100,0.24333333333333332
care,Care.com / childcare,care_d_0.20,d_I=d_J=0.20,False,0.2,200,Customers search,24.333333333333332,100,0.24333333333333332
care,Care.com / childcare,care_d_0.20,d_I=d_J=0.20,False,0.2,200,Providers search,51.333333333333336,100,0.5133333333333333
care,Care.com / childcare,care_d_0.40,d_I=d_J=0.40,False,0.4,25,Customers search,55.0,100,0.55
care,Care.com / childcare,care_d_0.40,d_I=d_J=0.40,False,0.4,25,Providers search,45.0,100,0.45
care,Care.com / childcare,care_d_0.40,d_I=d_J=0.40,False,0.4,50,Both sides search,26.0,100,0.26
care,Care.com / childcare,care_d_0.40,d_I=d_J=0.40,False,0.4,50,Customers search,26.0,100,0.26
care,Care.com / childcare,care_d_0.40,d_I=d_J=0.40,False,0.4,50,Providers search,48.0,100,0.48
care,Care.com / childcare,care_d_0.40,d_I=d_J=0.40,False,0.4,100,Both sides search,25.666666666666668,100,0.25666666666666665
care,Care.com / childcare,care_d_0.40,d_I=d_J=0.40,False,0.4,100,Customers search,25.666666666666668,100,0.25666666666666665
care,Care.com / childcare,care_d_0.40,d_I=d_J=0.40,False,0.4,100,Providers search,48.666666666666664,100,0.48666666666666664
care,Care.com / childcare,care_d_0.40,d_I=d_J=0.40,False,0.4,150,Both sides search,24.0,100,0.24
care,Care.com / childcare,care_d_0.40,d_I=d_J=0.40,False,0.4,150,Customers search,24.0,100,0.24
care,Care.com / childcare,care_d_0.40,d_I=d_J=0.40,False,0.4,150,Providers search,52.0,100,0.52
care,Care.com / childcare,care_d_0.40,d_I=d_J=0.40,False,0.4,200,Both sides search,25.666666666666668,100,0.25666666666666665
care,Care.com / childcare,care_d_0.40,d_I=d_J=0.40,False,0.4,200,Customers search,25.666666666666668,100,0.25666666666666665
care,Care.com / childcare,care_d_0.40,d_I=d_J=0.40,False,0.4,200,Providers search,48.666666666666664,100,0.48666666666666664
