market_key,market,scenario_id,scenario,is_baseline,sensitivity_parameter,sensitivity_value,n,epsilon,d_I,d_J,replication,strategy,interactions_total,interactions_per_customer,welfare,optimal_welfare,welfare_ratio,welfare_regret,match_rate,runtime_ms,baseline_prediction,centralized_sufficient_condition,z,rejections,acceptances,displacements,provider_initiated_contacts,recommendations_per_customer,accepted_recommendations
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,25,0.1,0.1,0.6,1,Providers search,254,10.16,21.800000000000004,21.800000000000004,1.0,0.0,1.0,0.7912000000942498,Customers search,False,,215.0,39.0,14.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,25,0.1,0.1,0.6,1,Both sides search,90,3.6,21.8,21.800000000000004,0.9999999999999999,1.1102230246251565e-16,1.0,0.34020000020973384,Customers search,False,0.0,27.0,63.0,38.0,0.0,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,25,0.1,0.1,0.6,1,Centralized matching,625,25.0,17.0,21.800000000000004,0.7798165137614678,0.22018348623853223,0.68,0.3680000008898787,Customers search,False,,,,,,25.0,41.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,d_J (with d_I fixed at 0.10),0.8,25,0.1,0.1,0.8,1,Customers search,91,3.64,22.200000000000003,22.200000000000003,1.0,0.0,1.0,0.30530000367434695,Customers search,False,,20.0,71.0,46.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,d_J (with d_I fixed at 0.10),0.8,25,0.1,0.1,0.8,1,Providers search,300,12.0,22.200000000000003,22.200000000000003,1.0,0.0,1.0,0.9352999986731447,Customers search,False,,263.0,37.0,12.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,d_J (with d_I fixed at 0.10),0.8,25,0.1,0.1,0.8,1,Both sides search,91,3.64,22.200000000000003,22.200000000000003,1.0,0.0,1.0,0.3045999983442016,Customers search,False,0.0,20.0,71.0,46.0,0.0,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,d_J (with d_I fixed at 0.10),0.8,25,0.1,0.1,0.8,1,Centralized matching,625,25.0,18.0,22.200000000000003,0.8108108108108107,0.18918918918918926,0.72,0.3842000005533919,Customers search,False,,,,,,25.0,52.0
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,d_J (with d_I fixed at 0.10),1.0,25,0.1,0.1,1.0,1,Customers search,43,1.72,24.2,24.2,1.0,0.0,1.0,0.15729999722680077,Customers search,False,,0.0,43.0,18.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,d_J (with d_I fixed at 0.10),1.0,25,0.1,0.1,1.0,1,Providers search,410,16.4,24.2,24.2,1.0,0.0,1.0,1.2160999976913445,Customers search,False,,354.0,56.0,31.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,d_J (with d_I fixed at 0.10),1.0,25,0.1,0.1,1.0,1,Both sides search,43,1.72,24.2,24.2,1.0,0.0,1.0,0.18389999604551122,Customers search,False,0.0,0.0,43.0,18.0,0.0,,
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,d_J (with d_I fixed at 0.10),1.0,25,0.1,0.1,1.0,1,Centralized matching,625,25.0,23.0,24.2,0.9504132231404959,0.04958677685950408,0.92,0.3952999977627769,Customers search,False,,,,,,25.0,71.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,d_J (with d_I fixed at 0.10),0.2,25,0.1,0.1,0.2,2,Customers search,135,5.4,17.4,17.4,1.0,0.0,1.0,0.6033000026945956,Customers search,False,,87.0,48.0,23.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,d_J (with d_I fixed at 0.10),0.2,25,0.1,0.1,0.2,2,Providers search,185,7.4,17.4,17.4,1.0,0.0,1.0,1.0851000042748637,Customers search,False,,144.0,41.0,16.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,d_J (with d_I fixed at 0.10),0.2,25,0.1,0.1,0.2,2,Both sides search,189,7.56,17.4,17.4,1.0,0.0,1.0,0.3504999986034818,Customers search,False,0.4,0.0,45.0,20.0,144.0,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,d_J (with d_I fixed at 0.10),0.2,25,0.1,0.1,0.2,2,Centralized matching,625,25.0,6.0,17.4,0.3448275862068966,0.6551724137931034,0.24,0.4702000005636364,Customers search,False,,,,,,25.0,6.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,2,Customers search,79,3.16,20.200000000000003,20.200000000000003,1.0,0.0,1.0,0.2708999963942915,Customers search,False,,33.0,46.0,21.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,2,Providers search,230,9.2,20.200000000000003,20.200000000000003,1.0,0.0,1.0,0.6971999973757192,Customers search,False,,194.0,36.0,11.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,2,Both sides search,311,12.44,20.200000000000003,20.200000000000003,1.0,0.0,1.0,0.15380000695586205,Customers search,False,0.4,0.0,38.0,13.0,273.0,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,2,Centralized matching,625,25.0,13.0,20.200000000000003,0.6435643564356435,0.35643564356435653,0.52,0.4498999987845309,Customers search,False,,,,,,25.0,19.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,25,0.1,0.1,0.6,2,Customers search,63,2.52,20.6,20.6,1.0,0.0,1.0,0.24179999309126288,Customers search,False,,20.0,43.0,18.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,25,0.1,0.1,0.6,2,Providers search,289,11.56,20.6,20.6,1.0,0.0,1.0,1.0888999968301505,Customers search,False,,251.0,38.0,13.0,,,
